City;colYear;colMonth;prom_arribades
"Colorado Springs";1996;9;46.0000
"Colorado Springs";1998;3;-10.0000
"Colorado Springs";1999;7;119.0000
"Colorado Springs";2006;9;-15.0000
"Colorado Springs";2008;2;-18.0000
"Colorado Springs";2008;3;13.0000
Columbia;1988;10;-5.0000
Columbia;1989;2;34.0000
Columbia;1990;2;1.0000
Columbia;1998;10;-4.0000
Columbia;1999;2;2.0000
Columbia;2001;1;2.0000
Columbia;2005;3;15.0000
Columbia;2008;2;90.0000
Columbus;1988;1;1.0000
Columbus;1988;11;21.0000
Columbus;1991;7;-5.0000
Columbus;1992;3;-8.0000
Columbus;1992;9;7.0000
Columbus;1993;1;2.0000
Columbus;1993;6;5.0000
Columbus;1993;12;14.0000
Columbus;1994;3;3.0000
Columbus;1994;8;113.0000
Columbus;1995;1;13.0000
Columbus;1997;3;-11.0000
Columbus;1997;12;-2.0000
Columbus;1998;5;16.0000
Columbus;2001;10;-15.0000
Columbus;2002;3;45.0000
Columbus;2003;1;1.0000
Columbus;2003;3;-35.0000
Columbus;2004;1;-30.0000
Columbus;2004;3;137.0000
Columbus;2004;5;47.0000
Columbus;2004;12;9.5000
Columbus;2005;4;18.0000
Columbus;2006;12;-2.0000
Columbus;2008;2;15.0000
Columbus;2008;4;2.0000
Columbus;2008;7;15.0000
"Corpus Christi";1990;9;-3.0000
"Corpus Christi";1992;1;0.0000
"Corpus Christi";2002;11;-8.0000
"Corpus Christi";2003;10;-18.0000
"Corpus Christi";2005;9;-8.0000
"Corpus Christi";2005;12;-4.0000
